timestamp, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
2026/06/18 07:38:19.025, 74249, 97887, 100
2026/06/18 07:38:20.025, 74249, 97887, 100
2026/06/18 07:38:21.025, 74249, 97887, 100
2026/06/18 07:38:22.026, 74249, 97887, 100
2026/06/18 07:38:23.026, 74249, 97887, 100
2026/06/18 07:38:24.027, 74249, 97887, 100
2026/06/18 07:38:25.027, 74249, 97887, 98
2026/06/18 07:38:26.028, 74249, 97887, 100
2026/06/18 07:38:27.028, 74249, 97887, 100
2026/06/18 07:38:28.029, 74249, 97887, 97
2026/06/18 07:38:29.029, 74249, 97887, 100
2026/06/18 07:38:30.030, 74249, 97887, 100
2026/06/18 07:38:31.030, 74249, 97887, 90
2026/06/18 07:38:32.031, 74249, 97887, 100
2026/06/18 07:38:33.031, 74249, 97887, 100
2026/06/18 07:38:34.032, 74249, 97887, 90
2026/06/18 07:38:35.032, 74249, 97887, 100
2026/06/18 07:38:36.033, 74249, 97887, 100
2026/06/18 07:38:37.034, 74249, 97887, 93
2026/06/18 07:38:38.035, 74249, 97887, 100
2026/06/18 07:38:39.035, 74249, 97887, 100
2026/06/18 07:38:40.036, 74249, 97887, 100
2026/06/18 07:38:41.036, 74249, 97887, 100
2026/06/18 07:38:42.037, 74249, 97887, 100
2026/06/18 07:38:43.038, 74249, 97887, 100
2026/06/18 07:38:44.038, 74249, 97887, 100
2026/06/18 07:38:45.039, 74249, 97887, 100
2026/06/18 07:38:46.039, 74249, 97887, 100
2026/06/18 07:38:47.040, 74249, 97887, 97
2026/06/18 07:38:48.040, 74249, 97887, 100
2026/06/18 07:38:49.041, 74249, 97887, 100
2026/06/18 07:38:50.041, 74249, 97887, 100
2026/06/18 07:38:51.042, 74249, 97887, 100
2026/06/18 07:38:52.042, 74249, 97887, 100
2026/06/18 07:38:53.042, 74249, 97887, 100
2026/06/18 07:38:54.043, 74249, 97887, 100
2026/06/18 07:38:55.043, 74249, 97887, 100
2026/06/18 07:38:56.044, 74249, 97887, 97
2026/06/18 07:38:57.044, 74249, 97887, 100
2026/06/18 07:38:58.045, 74249, 97887, 100
2026/06/18 07:38:59.045, 74249, 97887, 97
2026/06/18 07:39:00.046, 74249, 97887, 100
2026/06/18 07:39:01.046, 74249, 97887, 0
2026/06/18 07:39:02.047, 74249, 97887, 0
2026/06/18 07:39:03.047, 74249, 97887, 0
2026/06/18 07:39:04.048, 74249, 97887, 100
2026/06/18 07:39:05.048, 74249, 97887, 100
2026/06/18 07:39:06.049, 74249, 97887, 71
2026/06/18 07:39:07.049, 74249, 97887, 100
2026/06/18 07:39:08.050, 74249, 97887, 100
2026/06/18 07:39:09.050, 74249, 97887, 71
2026/06/18 07:39:10.051, 74249, 97887, 100
2026/06/18 07:39:11.051, 74249, 97887, 100
2026/06/18 07:39:12.052, 74249, 97887, 69
2026/06/18 07:39:13.052, 74249, 97887, 100
2026/06/18 07:39:14.053, 74249, 97887, 100
2026/06/18 07:39:15.053, 74249, 97887, 71
2026/06/18 07:39:16.053, 74249, 97887, 100
2026/06/18 07:39:17.054, 74249, 97887, 100
2026/06/18 07:39:18.054, 74249, 97887, 69
2026/06/18 07:39:19.055, 74249, 97887, 100
2026/06/18 07:39:20.055, 74249, 97887, 100
2026/06/18 07:39:21.056, 74249, 97887, 72
2026/06/18 07:39:22.056, 74249, 97887, 100
2026/06/18 07:39:23.057, 74249, 97887, 100
